,KASCO,BOARD,ADMIN,COMCO,BOOKS,BOOKBUYERS,KICKIN,LENDERS,WEB,KONNICHIWA,RETRIEVAL
add_logentry,0,0,0,0,0,0,0,0,0,0,0
change_logentry,0,0,0,0,0,0,0,0,0,0,0
delete_logentry,0,0,0,0,0,0,0,0,0,0,0
view_logentry,0,0,0,0,0,0,0,0,0,0,0
add_group,0,0,1,0,0,0,0,0,0,0,0
change_group,0,0,1,0,0,0,0,0,0,0,0
delete_group,0,0,1,0,0,0,0,0,0,0,0
view_group,0,0,1,0,0,0,0,0,0,0,0
add_permission,0,0,1,0,0,0,0,0,0,0,0
change_permission,0,0,1,0,0,0,0,0,0,0,0
delete_permission,0,0,1,0,0,0,0,0,0,0,0
view_permission,0,0,1,0,0,0,0,0,0,0,0
add_user,0,1,1,0,0,0,0,1,0,0,1
change_user,0,1,1,0,0,0,0,1,0,0,1
delete_user,0,1,1,0,0,0,0,1,0,0,1
view_user,0,1,1,0,0,0,0,1,0,0,1
add_holiday,0,1,1,0,0,0,0,0,0,0,0
change_holiday,0,1,1,0,0,0,0,0,0,0,0
delete_holiday,0,1,1,0,0,0,0,0,0,0,0
view_holiday,0,1,1,0,0,0,0,0,0,0,0
add_lendingsettings,0,0,1,0,0,0,0,0,0,0,0
change_lendingsettings,0,1,1,0,0,0,0,0,0,0,0
delete_lendingsettings,0,0,1,0,0,0,0,0,0,0,0
view_lendingsettings,0,1,1,0,0,0,0,0,0,0,0
add_contenttype,0,0,0,0,0,0,0,0,0,0,0
change_contenttype,0,0,0,0,0,0,0,0,0,0,0
delete_contenttype,0,0,0,0,0,0,0,0,0,0,0
view_contenttype,0,0,0,0,0,0,0,0,0,0,0
add_inventarisation,0,1,1,0,0,0,0,0,0,0,0
change_inventarisation,0,1,1,0,0,0,0,0,0,0,0
delete_inventarisation,0,1,1,0,0,0,0,0,0,0,0
view_inventarisation,0,1,1,0,0,0,0,0,0,0,0
add_lending,0,1,1,0,0,0,0,1,0,0,1
change_lending,0,1,1,0,0,0,0,1,0,0,1
delete_lending,0,0,1,0,0,0,0,1,0,0,1
extend,0,1,1,0,0,0,0,1,0,0,1
extend_with_fine,0,1,1,0,0,0,0,1,0,0,1
return,0,1,1,0,0,0,0,1,0,0,1
view_lending,0,1,1,0,0,0,0,1,0,0,1
add_reservation,0,1,1,0,0,0,0,1,0,0,1
change_reservation,0,1,1,0,0,0,0,1,0,0,1
delete_reservation,0,1,1,0,0,0,0,1,0,0,1
view_reservation,0,1,1,0,0,0,0,1,0,0,1
add_committee,0,1,1,0,0,0,0,0,0,0,0
change_committee,0,1,1,0,0,0,0,0,0,0,0
delete_committee,0,1,1,0,0,0,0,0,0,0,0
view_committee,0,1,1,0,0,0,0,0,0,0,0
add_member,0,1,1,0,0,0,0,1,0,0,1
change_member,0,1,1,0,0,0,0,1,0,0,1
committee_update,0,1,1,0,0,0,0,0,0,0,0
delete_member,0,1,1,0,0,0,0,1,0,0,1
view_member,0,1,1,0,0,0,0,1,0,0,1
add_article,0,1,1,0,0,0,0,0,0,0,0
change_article,0,1,1,0,0,0,0,0,0,0,0
delete_article,0,1,1,0,0,0,0,0,0,0,0
view_article,0,1,1,0,0,0,0,0,0,0,0
add_creatortoseries,0,1,1,0,1,0,0,0,0,0,0
change_creatortoseries,0,1,1,0,1,0,0,0,0,0,0
delete_creatortoseries,0,1,1,0,1,0,0,0,0,0,0
view_creatortoseries,0,1,1,0,1,0,0,0,0,0,0
add_series,0,1,1,0,1,0,0,0,0,0,0
change_series,0,1,1,0,1,0,0,0,0,0,0
delete_series,0,1,1,0,1,0,0,0,0,0,0
view_series,0,1,1,0,1,0,0,0,0,0,0
add_seriesnode,0,1,1,0,1,0,0,0,0,0,0
change_seriesnode,0,1,1,0,1,0,0,0,0,0,0
delete_seriesnode,0,1,1,0,1,0,0,0,0,0,0
view_seriesnode,0,1,1,0,1,0,0,0,0,0,0
add_workinseries,0,1,1,0,1,0,0,0,0,0,0
change_workinseries,0,1,1,0,1,0,0,0,0,0,0
delete_workinseries,0,1,1,0,1,0,0,0,0,0,0
view_workinseries,0,1,1,0,1,0,0,0,0,0,0
add_session,0,0,0,0,0,0,0,0,0,0,0
change_session,0,0,0,0,0,0,0,0,0,0,0
delete_session,0,0,0,0,0,0,0,0,0,0,0
view_session,0,0,0,0,0,0,0,0,0,0,0
add_category,0,1,1,0,1,0,0,0,0,0,0
change_category,0,1,1,0,1,0,0,0,0,0,0
delete_category,0,1,1,0,1,0,0,0,0,0,0
view_category,0,1,1,0,1,0,0,0,0,0,0
add_creator,0,1,1,0,1,0,0,0,0,0,0
change_creator,0,1,1,0,1,0,0,0,0,0,0
delete_creator,0,1,1,0,1,0,0,0,0,0,0
view_creator,0,1,1,0,1,0,0,0,0,0,0
add_creatorrole,0,1,1,0,1,0,0,0,0,0,0
change_creatorrole,0,1,1,0,1,0,0,0,0,0,0
delete_creatorrole,0,1,1,0,1,0,0,0,0,0,0
view_creatorrole,0,1,1,0,1,0,0,0,0,0,0
add_creatortoitem,0,1,1,0,1,0,0,0,0,0,0
change_creatortoitem,0,1,1,0,1,0,0,0,0,0,0
delete_creatortoitem,0,1,1,0,1,0,0,0,0,0,0
view_creatortoitem,0,1,1,0,1,0,0,0,0,0,0
add_creatortowork,0,1,1,0,1,0,0,0,0,0,0
change_creatortowork,0,1,1,0,1,0,0,0,0,0,0
delete_creatortowork,0,1,1,0,1,0,0,0,0,0,0
view_creatortowork,0,1,1,0,1,0,0,0,0,0,0
add_item,0,1,1,0,1,0,0,0,0,0,0
change_item,0,1,1,0,1,0,0,0,0,0,0
delete_item,0,1,1,0,1,0,0,0,0,0,0
view_item,0,1,1,0,1,0,0,0,0,0,0
add_itemstate,0,1,1,0,1,0,0,0,0,0,0
change_itemstate,0,1,1,0,1,0,0,0,0,0,0
delete_itemstate,0,1,1,0,1,0,0,0,0,0,0
view_itemstate,0,1,1,0,1,0,0,0,0,0,0
add_itemtype,0,1,1,0,1,0,0,0,0,0,0
change_itemtype,0,1,1,0,1,0,0,0,0,0,0
delete_itemtype,0,1,1,0,1,0,0,0,0,0,0
view_itemtype,0,1,1,0,1,0,0,0,0,0,0
add_location,0,1,1,0,1,0,0,0,0,0,0
change_location,0,1,1,0,1,0,0,0,0,0,0
delete_location,0,1,1,0,1,0,0,0,0,0,0
view_location,0,1,1,0,1,0,0,0,0,0,0
add_publication,0,1,1,0,1,0,0,0,0,0,0
change_publication,0,1,1,0,1,0,0,0,0,0,0
delete_publication,0,1,1,0,1,0,0,0,0,0,0
view_publication,0,1,1,0,1,0,0,0,0,0,0
add_subwork,0,1,1,0,1,0,0,0,0,0,0
change_subwork,0,1,1,0,1,0,0,0,0,0,0
delete_subwork,0,1,1,0,1,0,0,0,0,0,0
view_subwork,0,1,1,0,1,0,0,0,0,0,0
add_work,0,1,1,0,1,0,0,0,0,0,0
change_work,0,1,1,0,1,0,0,0,0,0,0
delete_work,0,1,1,0,1,0,0,0,0,0,0
view_work,0,1,1,0,1,0,0,0,0,0,0
add_workinpublication,0,1,1,0,1,0,0,0,0,0,0
change_workinpublication,0,1,1,0,1,0,0,0,0,0,0
delete_workinpublication,0,1,1,0,1,0,0,0,0,0,0
view_workinpublication,0,1,1,0,1,0,0,0,0,0,0
